"date","hits","keyword","geo","time","gprop","category"
2020-03-29,18,"Inflation","CA","today+5-y","web",0
2020-04-05,22,"Inflation","CA","today+5-y","web",0
2020-04-12,21,"Inflation","CA","today+5-y","web",0
2020-04-19,22,"Inflation","CA","today+5-y","web",0
2020-04-26,17,"Inflation","CA","today+5-y","web",0
2020-05-03,16,"Inflation","CA","today+5-y","web",0
2020-05-10,18,"Inflation","CA","today+5-y","web",0
2020-05-17,19,"Inflation","CA","today+5-y","web",0
2020-05-24,18,"Inflation","CA","today+5-y","web",0
2020-05-31,15,"Inflation","CA","today+5-y","web",0
2020-06-07,15,"Inflation","CA","today+5-y","web",0
2020-06-14,18,"Inflation","CA","today+5-y","web",0
2020-06-21,14,"Inflation","CA","today+5-y","web",0
2020-06-28,18,"Inflation","CA","today+5-y","web",0
2020-07-05,16,"Inflation","CA","today+5-y","web",0
2020-07-12,17,"Inflation","CA","today+5-y","web",0
2020-07-19,16,"Inflation","CA","today+5-y","web",0
2020-07-26,17,"Inflation","CA","today+5-y","web",0
2020-08-02,17,"Inflation","CA","today+5-y","web",0
2020-08-09,18,"Inflation","CA","today+5-y","web",0
2020-08-16,17,"Inflation","CA","today+5-y","web",0
2020-08-23,19,"Inflation","CA","today+5-y","web",0
2020-08-30,16,"Inflation","CA","today+5-y","web",0
2020-09-06,15,"Inflation","CA","today+5-y","web",0
2020-09-13,18,"Inflation","CA","today+5-y","web",0
2020-09-20,20,"Inflation","CA","today+5-y","web",0
2020-09-27,19,"Inflation","CA","today+5-y","web",0
2020-10-04,19,"Inflation","CA","today+5-y","web",0
2020-10-11,19,"Inflation","CA","today+5-y","web",0
2020-10-18,19,"Inflation","CA","today+5-y","web",0
2020-10-25,20,"Inflation","CA","today+5-y","web",0
2020-11-01,16,"Inflation","CA","today+5-y","web",0
2020-11-08,18,"Inflation","CA","today+5-y","web",0
2020-11-15,19,"Inflation","CA","today+5-y","web",0
2020-11-22,19,"Inflation","CA","today+5-y","web",0
2020-11-29,21,"Inflation","CA","today+5-y","web",0
2020-12-06,24,"Inflation","CA","today+5-y","web",0
2020-12-13,25,"Inflation","CA","today+5-y","web",0
2020-12-20,19,"Inflation","CA","today+5-y","web",0
2020-12-27,19,"Inflation","CA","today+5-y","web",0
2021-01-03,18,"Inflation","CA","today+5-y","web",0
2021-01-10,20,"Inflation","CA","today+5-y","web",0
2021-01-17,22,"Inflation","CA","today+5-y","web",0
2021-01-24,19,"Inflation","CA","today+5-y","web",0
2021-01-31,21,"Inflation","CA","today+5-y","web",0
2021-02-07,25,"Inflation","CA","today+5-y","web",0
2021-02-14,25,"Inflation","CA","today+5-y","web",0
2021-02-21,31,"Inflation","CA","today+5-y","web",0
2021-02-28,28,"Inflation","CA","today+5-y","web",0
2021-03-07,31,"Inflation","CA","today+5-y","web",0
2021-03-14,32,"Inflation","CA","today+5-y","web",0
2021-03-21,26,"Inflation","CA","today+5-y","web",0
2021-03-28,24,"Inflation","CA","today+5-y","web",0
2021-04-04,26,"Inflation","CA","today+5-y","web",0
2021-04-11,25,"Inflation","CA","today+5-y","web",0
2021-04-18,26,"Inflation","CA","today+5-y","web",0
2021-04-25,26,"Inflation","CA","today+5-y","web",0
2021-05-02,27,"Inflation","CA","today+5-y","web",0
2021-05-09,43,"Inflation","CA","today+5-y","web",0
2021-05-16,32,"Inflation","CA","today+5-y","web",0
2021-05-23,28,"Inflation","CA","today+5-y","web",0
2021-05-30,25,"Inflation","CA","today+5-y","web",0
2021-06-06,31,"Inflation","CA","today+5-y","web",0
2021-06-13,32,"Inflation","CA","today+5-y","web",0
2021-06-20,24,"Inflation","CA","today+5-y","web",0
2021-06-27,19,"Inflation","CA","today+5-y","web",0
2021-07-04,21,"Inflation","CA","today+5-y","web",0
2021-07-11,28,"Inflation","CA","today+5-y","web",0
2021-07-18,24,"Inflation","CA","today+5-y","web",0
2021-07-25,23,"Inflation","CA","today+5-y","web",0
2021-08-01,20,"Inflation","CA","today+5-y","web",0
2021-08-08,22,"Inflation","CA","today+5-y","web",0
2021-08-15,26,"Inflation","CA","today+5-y","web",0
2021-08-22,21,"Inflation","CA","today+5-y","web",0
2021-08-29,20,"Inflation","CA","today+5-y","web",0
2021-09-05,21,"Inflation","CA","today+5-y","web",0
2021-09-12,37,"Inflation","CA","today+5-y","web",0
2021-09-19,27,"Inflation","CA","today+5-y","web",0
2021-09-26,27,"Inflation","CA","today+5-y","web",0
2021-10-03,28,"Inflation","CA","today+5-y","web",0
2021-10-10,38,"Inflation","CA","today+5-y","web",0
2021-10-17,53,"Inflation","CA","today+5-y","web",0
2021-10-24,43,"Inflation","CA","today+5-y","web",0
2021-10-31,38,"Inflation","CA","today+5-y","web",0
2021-11-07,48,"Inflation","CA","today+5-y","web",0
2021-11-14,49,"Inflation","CA","today+5-y","web",0
2021-11-21,39,"Inflation","CA","today+5-y","web",0
2021-11-28,37,"Inflation","CA","today+5-y","web",0
2021-12-05,48,"Inflation","CA","today+5-y","web",0
2021-12-12,48,"Inflation","CA","today+5-y","web",0
2021-12-19,31,"Inflation","CA","today+5-y","web",0
2021-12-26,26,"Inflation","CA","today+5-y","web",0
2022-01-02,35,"Inflation","CA","today+5-y","web",0
2022-01-09,47,"Inflation","CA","today+5-y","web",0
2022-01-16,60,"Inflation","CA","today+5-y","web",0
2022-01-23,58,"Inflation","CA","today+5-y","web",0
2022-01-30,42,"Inflation","CA","today+5-y","web",0
2022-02-06,57,"Inflation","CA","today+5-y","web",0
2022-02-13,67,"Inflation","CA","today+5-y","web",0
2022-02-20,50,"Inflation","CA","today+5-y","web",0
2022-02-27,49,"Inflation","CA","today+5-y","web",0
2022-03-06,64,"Inflation","CA","today+5-y","web",0
2022-03-13,62,"Inflation","CA","today+5-y","web",0
2022-03-20,63,"Inflation","CA","today+5-y","web",0
2022-03-27,54,"Inflation","CA","today+5-y","web",0
2022-04-03,50,"Inflation","CA","today+5-y","web",0
2022-04-10,64,"Inflation","CA","today+5-y","web",0
2022-04-17,76,"Inflation","CA","today+5-y","web",0
2022-04-24,46,"Inflation","CA","today+5-y","web",0
2022-05-01,52,"Inflation","CA","today+5-y","web",0
2022-05-08,68,"Inflation","CA","today+5-y","web",0
2022-05-15,68,"Inflation","CA","today+5-y","web",0
2022-05-22,47,"Inflation","CA","today+5-y","web",0
2022-05-29,62,"Inflation","CA","today+5-y","web",0
2022-06-05,81,"Inflation","CA","today+5-y","web",0
2022-06-12,95,"Inflation","CA","today+5-y","web",0
2022-06-19,100,"Inflation","CA","today+5-y","web",0
2022-06-26,47,"Inflation","CA","today+5-y","web",0
2022-07-03,50,"Inflation","CA","today+5-y","web",0
2022-07-10,86,"Inflation","CA","today+5-y","web",0
2022-07-17,80,"Inflation","CA","today+5-y","web",0
2022-07-24,54,"Inflation","CA","today+5-y","web",0
2022-07-31,49,"Inflation","CA","today+5-y","web",0
2022-08-07,75,"Inflation","CA","today+5-y","web",0
2022-08-14,63,"Inflation","CA","today+5-y","web",0
2022-08-21,53,"Inflation","CA","today+5-y","web",0
2022-08-28,47,"Inflation","CA","today+5-y","web",0
2022-09-04,53,"Inflation","CA","today+5-y","web",0
2022-09-11,80,"Inflation","CA","today+5-y","web",0
2022-09-18,69,"Inflation","CA","today+5-y","web",0
2022-09-25,60,"Inflation","CA","today+5-y","web",0
2022-10-02,59,"Inflation","CA","today+5-y","web",0
2022-10-09,77,"Inflation","CA","today+5-y","web",0
2022-10-16,76,"Inflation","CA","today+5-y","web",0
2022-10-23,64,"Inflation","CA","today+5-y","web",0
2022-10-30,62,"Inflation","CA","today+5-y","web",0
2022-11-06,76,"Inflation","CA","today+5-y","web",0
2022-11-13,66,"Inflation","CA","today+5-y","web",0
2022-11-20,61,"Inflation","CA","today+5-y","web",0
2022-11-27,65,"Inflation","CA","today+5-y","web",0
2022-12-04,80,"Inflation","CA","today+5-y","web",0
2022-12-11,69,"Inflation","CA","today+5-y","web",0
2022-12-18,50,"Inflation","CA","today+5-y","web",0
2022-12-25,40,"Inflation","CA","today+5-y","web",0
2023-01-01,48,"Inflation","CA","today+5-y","web",0
2023-01-08,73,"Inflation","CA","today+5-y","web",0
2023-01-15,79,"Inflation","CA","today+5-y","web",0
