"Week","Year","Industry","Revenue","Source"
"Week 12","2020","RTMs TOTAL",4554.79691,"CN"
"Week 13","2020","AUTOMOTIVE",21.64279,"CN"
"Week 13","2020","COAL",336.68999,"CN"
"Week 13","2020","FOREST PRODUCTS",511.06557,"CN"
"Week 13","2020","GRAIN & FERTS",1441.41704,"CN"
"Week 13","2020","INTERMODAL",1038.96682,"CN"
"Week 13","2020","METALS&MINERALS",416.40268,"CN"
"Week 13","2020","PETRO&CHEMICALS",795.30372,"CN"
"Week 13","2020","RTMs TOTAL",4561.4886,"CN"
"Week 14","2020","AUTOMOTIVE",16.59718,"CN"
"Week 14","2020","COAL",382.8618,"CN"
"Week 14","2020","FOREST PRODUCTS",515.13536,"CN"
"Week 14","2020","GRAIN & FERTS",1336.27497,"CN"
"Week 14","2020","INTERMODAL",1046.98408,"CN"
"Week 14","2020","METALS&MINERALS",405.60074,"CN"
"Week 14","2020","PETRO&CHEMICALS",760.70104,"CN"
"Week 14","2020","RTMs TOTAL",4464.15517,"CN"
"Week 15","2020","AUTOMOTIVE",11.41906,"CN"
"Week 15","2020","COAL",381.74582,"CN"
"Week 15","2020","FOREST PRODUCTS",491.4574,"CN"
"Week 15","2020","GRAIN & FERTS",1194.5104,"CN"
"Week 15","2020","INTERMODAL",1116.91764,"CN"
"Week 15","2020","METALS&MINERALS",294.38195,"CN"
"Week 15","2020","PETRO&CHEMICALS",687.35897,"CN"
"Week 15","2020","RTMs TOTAL",4177.79125,"CN"
"Week 16","2020","AUTOMOTIVE",10.77264,"CN"
"Week 16","2020","COAL",360.18979,"CN"
"Week 16","2020","FOREST PRODUCTS",456.63756,"CN"
"Week 16","2020","GRAIN & FERTS",1231.05068,"CN"
"Week 16","2020","INTERMODAL",1120.87511,"CN"
"Week 16","2020","METALS&MINERALS",306.83622,"CN"
"Week 16","2020","PETRO&CHEMICALS",666.27687,"CN"
"Week 16","2020","RTMs TOTAL",4152.63886,"CN"
"Week 17","2020","AUTOMOTIVE",13.21856,"CN"
"Week 17","2020","COAL",279.80037,"CN"
"Week 17","2020","FOREST PRODUCTS",437.87083,"CN"
"Week 17","2020","GRAIN & FERTS",1191.9563,"CN"
"Week 17","2020","INTERMODAL",1106.442,"CN"
"Week 17","2020","METALS&MINERALS",311.34857,"CN"
