"date","hits","keyword","geo","time","gprop","category"
2020-04-26,24,"Recession","CA","today+5-y","web",0
2020-05-03,20,"Recession","CA","today+5-y","web",0
2020-05-10,15,"Recession","CA","today+5-y","web",0
2020-05-17,14,"Recession","CA","today+5-y","web",0
2020-05-24,12,"Recession","CA","today+5-y","web",0
2020-05-31,10,"Recession","CA","today+5-y","web",0
2020-06-07,11,"Recession","CA","today+5-y","web",0
2020-06-14,8,"Recession","CA","today+5-y","web",0
2020-06-21,7,"Recession","CA","today+5-y","web",0
2020-06-28,6,"Recession","CA","today+5-y","web",0
2020-07-05,6,"Recession","CA","today+5-y","web",0
2020-07-12,8,"Recession","CA","today+5-y","web",0
2020-07-19,7,"Recession","CA","today+5-y","web",0
2020-07-26,12,"Recession","CA","today+5-y","web",0
2020-08-02,7,"Recession","CA","today+5-y","web",0
2020-08-09,13,"Recession","CA","today+5-y","web",0
2020-08-16,8,"Recession","CA","today+5-y","web",0
2020-08-23,6,"Recession","CA","today+5-y","web",0
2020-08-30,7,"Recession","CA","today+5-y","web",0
2020-09-06,4,"Recession","CA","today+5-y","web",0
2020-09-13,7,"Recession","CA","today+5-y","web",0
2020-09-20,7,"Recession","CA","today+5-y","web",0
2020-09-27,7,"Recession","CA","today+5-y","web",0
2020-10-04,7,"Recession","CA","today+5-y","web",0
2020-10-11,7,"Recession","CA","today+5-y","web",0
2020-10-18,6,"Recession","CA","today+5-y","web",0
2020-10-25,7,"Recession","CA","today+5-y","web",0
2020-11-01,5,"Recession","CA","today+5-y","web",0
2020-11-08,6,"Recession","CA","today+5-y","web",0
2020-11-15,7,"Recession","CA","today+5-y","web",0
2020-11-22,8,"Recession","CA","today+5-y","web",0
2020-11-29,6,"Recession","CA","today+5-y","web",0
2020-12-06,6,"Recession","CA","today+5-y","web",0
2020-12-13,5,"Recession","CA","today+5-y","web",0
2020-12-20,4,"Recession","CA","today+5-y","web",0
2020-12-27,4,"Recession","CA","today+5-y","web",0
2021-01-03,5,"Recession","CA","today+5-y","web",0
2021-01-10,6,"Recession","CA","today+5-y","web",0
2021-01-17,5,"Recession","CA","today+5-y","web",0
2021-01-24,6,"Recession","CA","today+5-y","web",0
2021-01-31,5,"Recession","CA","today+5-y","web",0
2021-02-07,6,"Recession","CA","today+5-y","web",0
2021-02-14,5,"Recession","CA","today+5-y","web",0
2021-02-21,6,"Recession","CA","today+5-y","web",0
2021-02-28,4,"Recession","CA","today+5-y","web",0
2021-03-07,5,"Recession","CA","today+5-y","web",0
2021-03-14,5,"Recession","CA","today+5-y","web",0
2021-03-21,4,"Recession","CA","today+5-y","web",0
2021-03-28,4,"Recession","CA","today+5-y","web",0
2021-04-04,4,"Recession","CA","today+5-y","web",0
2021-04-11,5,"Recession","CA","today+5-y","web",0
2021-04-18,5,"Recession","CA","today+5-y","web",0
2021-04-25,4,"Recession","CA","today+5-y","web",0
2021-05-02,4,"Recession","CA","today+5-y","web",0
2021-05-09,4,"Recession","CA","today+5-y","web",0
2021-05-16,4,"Recession","CA","today+5-y","web",0
2021-05-23,4,"Recession","CA","today+5-y","web",0
2021-05-30,4,"Recession","CA","today+5-y","web",0
2021-06-06,2,"Recession","CA","today+5-y","web",0
2021-06-13,3,"Recession","CA","today+5-y","web",0
2021-06-20,4,"Recession","CA","today+5-y","web",0
2021-06-27,3,"Recession","CA","today+5-y","web",0
2021-07-04,4,"Recession","CA","today+5-y","web",0
2021-07-11,4,"Recession","CA","today+5-y","web",0
2021-07-18,3,"Recession","CA","today+5-y","web",0
2021-07-25,3,"Recession","CA","today+5-y","web",0
2021-08-01,2,"Recession","CA","today+5-y","web",0
2021-08-08,3,"Recession","CA","today+5-y","web",0
2021-08-15,2,"Recession","CA","today+5-y","web",0
2021-08-22,2,"Recession","CA","today+5-y","web",0
2021-08-29,2,"Recession","CA","today+5-y","web",0
2021-09-05,3,"Recession","CA","today+5-y","web",0
2021-09-12,3,"Recession","CA","today+5-y","web",0
2021-09-19,5,"Recession","CA","today+5-y","web",0
2021-09-26,5,"Recession","CA","today+5-y","web",0
2021-10-03,4,"Recession","CA","today+5-y","web",0
2021-10-10,5,"Recession","CA","today+5-y","web",0
2021-10-17,7,"Recession","CA","today+5-y","web",0
2021-10-24,5,"Recession","CA","today+5-y","web",0
2021-10-31,4,"Recession","CA","today+5-y","web",0
2021-11-07,6,"Recession","CA","today+5-y","web",0
2021-11-14,4,"Recession","CA","today+5-y","web",0
2021-11-21,3,"Recession","CA","today+5-y","web",0
2021-11-28,5,"Recession","CA","today+5-y","web",0
2021-12-05,5,"Recession","CA","today+5-y","web",0
2021-12-12,5,"Recession","CA","today+5-y","web",0
2021-12-19,3,"Recession","CA","today+5-y","web",0
2021-12-26,2,"Recession","CA","today+5-y","web",0
2022-01-02,5,"Recession","CA","today+5-y","web",0
2022-01-09,5,"Recession","CA","today+5-y","web",0
2022-01-16,6,"Recession","CA","today+5-y","web",0
2022-01-23,8,"Recession","CA","today+5-y","web",0
2022-01-30,5,"Recession","CA","today+5-y","web",0
2022-02-06,6,"Recession","CA","today+5-y","web",0
2022-02-13,7,"Recession","CA","today+5-y","web",0
2022-02-20,9,"Recession","CA","today+5-y","web",0
2022-02-27,10,"Recession","CA","today+5-y","web",0
2022-03-06,17,"Recession","CA","today+5-y","web",0
2022-03-13,16,"Recession","CA","today+5-y","web",0
2022-03-20,13,"Recession","CA","today+5-y","web",0
2022-03-27,13,"Recession","CA","today+5-y","web",0
2022-04-03,16,"Recession","CA","today+5-y","web",0
2022-04-10,16,"Recession","CA","today+5-y","web",0
2022-04-17,18,"Recession","CA","today+5-y","web",0
2022-04-24,23,"Recession","CA","today+5-y","web",0
2022-05-01,20,"Recession","CA","today+5-y","web",0
2022-05-08,30,"Recession","CA","today+5-y","web",0
2022-05-15,40,"Recession","CA","today+5-y","web",0
2022-05-22,21,"Recession","CA","today+5-y","web",0
2022-05-29,20,"Recession","CA","today+5-y","web",0
2022-06-05,40,"Recession","CA","today+5-y","web",0
2022-06-12,95,"Recession","CA","today+5-y","web",0
2022-06-19,59,"Recession","CA","today+5-y","web",0
2022-06-26,32,"Recession","CA","today+5-y","web",0
2022-07-03,72,"Recession","CA","today+5-y","web",0
2022-07-10,49,"Recession","CA","today+5-y","web",0
2022-07-17,32,"Recession","CA","today+5-y","web",0
2022-07-24,51,"Recession","CA","today+5-y","web",0
2022-07-31,33,"Recession","CA","today+5-y","web",0
2022-08-07,22,"Recession","CA","today+5-y","web",0
2022-08-14,23,"Recession","CA","today+5-y","web",0
2022-08-21,16,"Recession","CA","today+5-y","web",0
2022-08-28,18,"Recession","CA","today+5-y","web",0
2022-09-04,17,"Recession","CA","today+5-y","web",0
2022-09-11,24,"Recession","CA","today+5-y","web",0
2022-09-18,33,"Recession","CA","today+5-y","web",0
2022-09-25,39,"Recession","CA","today+5-y","web",0
2022-10-02,37,"Recession","CA","today+5-y","web",0
2022-10-09,59,"Recession","CA","today+5-y","web",0
2022-10-16,57,"Recession","CA","today+5-y","web",0
2022-10-23,51,"Recession","CA","today+5-y","web",0
2022-10-30,46,"Recession","CA","today+5-y","web",0
2022-11-06,34,"Recession","CA","today+5-y","web",0
2022-11-13,31,"Recession","CA","today+5-y","web",0
2022-11-20,28,"Recession","CA","today+5-y","web",0
2022-11-27,24,"Recession","CA","today+5-y","web",0
2022-12-04,31,"Recession","CA","today+5-y","web",0
2022-12-11,23,"Recession","CA","today+5-y","web",0
2022-12-18,20,"Recession","CA","today+5-y","web",0
2022-12-25,18,"Recession","CA","today+5-y","web",0
2023-01-01,25,"Recession","CA","today+5-y","web",0
2023-01-08,27,"Recession","CA","today+5-y","web",0
2023-01-15,33,"Recession","CA","today+5-y","web",0
