"GEO","Category","Date","Volumes","Prices","YoY_Prices","YoY_Vol","Nominal Grwoth"
"Advanced economies","World Imports",2020-04-01,100.647890338801,95.2112726200764,-0.0493137302791557,-0.163926679053186,-0.213240409332342
"Advanced economies","World Imports",2020-05-01,101.636547903982,91.0545901113059,-0.0857363653432799,-0.167104618623497,-0.252840983966777
"Advanced economies","World Imports",2020-06-01,107.610590110768,91.694008623275,-0.0741319460488014,-0.106254456838793,-0.180386402887594
"Advanced economies","World Imports",2020-07-01,113.617426213703,94.5133871703569,-0.047837976465497,-0.0677403159484271,-0.115578292413924
"Advanced economies","World Imports",2020-08-01,115.721419475681,96.2102077744418,-0.0248952269710876,-0.0479760410374312,-0.0728712680085188
"Advanced economies","World Imports",2020-09-01,118.429156833147,98.1730858957166,0.00221166983955369,-0.0208360451237518,-0.0186243752841981
"Advanced economies","World Imports",2020-10-01,120.018664871425,97.8647995275175,0.00261740382859062,-0.0089043031921187,-0.00628689936352808
"Advanced economies","World Imports",2020-11-01,122.736373935707,98.3510298461323,0.00724295895397047,0.029875274178356,0.0371182331323265
"Advanced economies","World Imports",2020-12-01,122.163655397663,99.2756391321109,0.0131805972213951,0.0290603593968398,0.042240956618235
"Advanced economies","World Imports",2021-01-01,121.722072090705,102.119626495843,0.0336436282280086,0.0239944348547798,0.0576380630827883
"Advanced economies","World Imports",2021-02-01,121.898444318989,103.7361275025,0.0437827719499865,0.0319224837352831,0.0757052556852696
"Advanced economies","World Imports",2021-03-01,125.379561389854,104.80252370139,0.0760505059124308,0.104375992535305,0.180426498447735
"Advanced economies","World Imports",2021-04-01,125.156285595917,105.562280284753,0.108716199036436,0.243506298786947,0.352222497823383
"Advanced economies","World Imports",2021-05-01,124.95916144013,106.773635440622,0.172633200699723,0.229470736827675,0.402103937527398
"Advanced economies","World Imports",2021-06-01,125.239152969543,109.060999093374,0.18940158392956,0.163818104153403,0.353219688082963
"Advanced economies","World Imports",2021-07-01,124.333321873063,109.830053262849,0.162058164997138,0.0943155994328236,0.256373764429962
"Advanced economies","World Imports",2021-08-01,124.899808349436,110.293674249711,0.146382247799391,0.0793145202965977,0.225696768095988
"Advanced economies","World Imports",2021-09-01,124.851542817349,110.671129957094,0.127306215826335,0.0542297704040095,0.181535986230344
"Advanced economies","World Imports",2021-10-01,125.673617203277,112.075715821034,0.145209680724076,0.0471172741165727,0.192326954840648
